Authors	Journal	PMID	Pages	Volume	Year	Citation	Title	PMCID
1000 Genomes Project Consortium, A Auton, LD Brooks, RM Durbin, EP Garrison, HM Kang, JO Korbel, JL Marchini, S McCarthy, GA McVean, GR Abecasis	Nature	26432245	68-74	526	2015	(2015). <i>Nature</i>&nbsp;526:68-74.	A global reference for human genetic variation.	
PH Sudmant, T Rausch, EJ Gardner, RE Handsaker, A Abyzov, J Huddleston, Y Zhang, K Ye, G Jun, M Hsi-Yang Fritz, MK Konkel, A Malhotra, AM St&#252;tz, X Shi, F Paolo Casale, J Chen, F Hormozdiari, G Dayama, K Chen, M Malig, MJ Chaisson, K Walter, S Meiers, S Kashin, E Garrison, A Auton, HY Lam, X Jasmine Mu, C Alkan, D Antaki, T Bae, E Cerveira, P Chines, Z Chong, L Clarke, E Dal, L Ding, S Emery, X Fan, M Gujral, F Kahveci, JM Kidd, Y Kong, EW Lameijer, S McCarthy, P Flicek, RA Gibbs, G Marth, CE Mason, A Menelaou, DM Muzny, BJ Nelson, A Noor, NF Parrish, M Pendleton, A Quitadamo, B Raeder, EE Schadt, M Romanovitch, A Schlattl, R Sebra, AA Shabalin, A Untergasser, JA Walker, M Wang, F Yu, C Zhang, J Zhang, X Zheng-Bradley, W Zhou, T Zichner, J Sebat, MA Batzer, SA McCarroll, 1000 Genomes Project Consortium, RE Mills, MB Gerstein, A Bashir, O Stegle, SE Devine, C Lee, EE Eichler, JO Korbel	Nature	26432246	75-81	526	2015	(2015). <i>Nature</i>&nbsp;526:75-81.	An integrated map of structural variation in 2,504 human genomes.	
JC Mu, P Tootoonchi Afshar, M Mohiyuddin, X Chen, J Li, N Bani Asadi, MB Gerstein, WH Wong, HY Lam	Sci Rep	26412485	14493	5	2015	(2015). <i>Sci Rep</i>&nbsp;5:14493.	Leveraging long read sequencing from a single individual to provide a comprehensive resource for benchmarking variant calling methods.	PMC4585973
LT Fang, PT Afshar, A Chhibber, M Mohiyuddin, Y Fan, JC Mu, G Gibeling, S Barr, NB Asadi, MB Gerstein, DC Koboldt, W Wang, WH Wong, HY Lam	Genome Biol	26381235	197	16	2015	(2015). <i>Genome Biol</i>&nbsp;16:197.	An ensemble approach to accurately detect somatic mutations using SomaticSeq.	PMC4574535
EE Duffy, M Rutenberg-Schoenberg, CD Stark, RR Kitchen, MB Gerstein, MD Simon	Mol Cell	26340425	858-66	59	2015	(2015). <i>Mol Cell</i>&nbsp;59:858-66.	Tracking Distinct RNA Populations Using Efficient and Reversible Covalent Chemistry.	PMC4560836
L Lochovsky, J Zhang, Y Fu, E Khurana, M Gerstein	Nucleic Acids Res	26304545	8123-34	43	2015	(2015). <i>Nucleic Acids Res</i>&nbsp;43:8123-34.	LARVA: an integrative framework for large-scale analysis of recurrent variants in noncoding annotations.	
PP Kuksa, MR Min, R Dugar, M Gerstein	Bioinformatics	26206306			2015	(2015). <i>Bioinformatics</i>&nbsp;.	High-order neural networks and kernel methods for peptide-MHC binding prediction.	
J Mariani, G Coppola, P Zhang, A Abyzov, L Provini, L Tomasini, M Amenduni, A Szekely, D Palejev, M Wilson, M Gerstein, EL Grigorenko, K Chawarska, KA Pelphrey, JR Howe, FM Vaccarino	Cell	26186191	375-90	162	2015	(2015). <i>Cell</i>&nbsp;162:375-90.	FOXG1-Dependent Dysregulation of GABA/Glutamate Neuron Differentiation in Autism Spectrum Disorders.	PMC4519016
A Abyzov, S Li, DR Kim, M Mohiyuddin, AM St&#252;tz, NF Parrish, XJ Mu, W Clark, K Chen, M Hurles, JO Korbel, HY Lam, C Lee, MB Gerstein	Nat Commun	26028266	7256	6	2015	(2015). <i>Nat Commun</i>&nbsp;6:7256.	Analysis of deletion breakpoints from 1,092 humans reveals details of mutation mechanisms.	PMC4451611
M Mohiyuddin, JC Mu, J Li, N Bani Asadi, MB Gerstein, A Abyzov, WH Wong, HY Lam	Bioinformatics	25861968	2741-4	31	2015	(2015). <i>Bioinformatics</i>&nbsp;31:2741-4.	MetaSV: an accurate and integrative structural-variant caller for next generation sequencing.	PMC4528635
D Wang, KK Yan, C Sisu, C Cheng, J Rozowsky, W Meyerson, MB Gerstein	PLoS Comput Biol	25884877	e1004132	11	2015	(2015). <i>PLoS Comput Biol</i>&nbsp;11:e1004132.	Loregic: a method to characterize the cooperative logic of regulatory factors.	PMC4401777
C Cheng, E Andrews, KK Yan, M Ung, D Wang, M Gerstein	Genome Biol	25880651	63	16	2015	(2015). <i>Genome Biol</i>&nbsp;16:63.	An approach for determining and measuring network hierarchy applied to comparing the phosphorylome and the regulome.	PMC4404648
JC Mu, M Mohiyuddin, J Li, N Bani Asadi, MB Gerstein, A Abyzov, WH Wong, HY Lam	Bioinformatics	25524895	1469-71	31	2015	(2015). <i>Bioinformatics</i>&nbsp;31:1469-71.	VarSim: a high-fidelity simulation and validation framework for high-throughput genome sequencing with cancer applications.	PMC4410653
RR Kitchen, JS Rozowsky, MB Gerstein, AC Nairn	Nat Neurosci	25349915	1491-9	17	2014	(2014). <i>Nat Neurosci</i>&nbsp;17:1491-9.	Decoding neuroproteomics: integrating the genome, translatome and functional anatomy.	
A Harmanci, J Rozowsky, M Gerstein	Genome Biol	25292436	474	15	2015	(2015). <i>Genome Biol</i>&nbsp;15:474.	MUSIC: identification of enriched regions in ChIP-Seq experiments using a mappability-corrected multiscale signal processing framework.	PMC4234855
Y Fu, Z Liu, S Lou, J Bedford, XJ Mu, KY Yip, E Khurana, M Gerstein	Genome Biol	25273974	480	15	2015	(2015). <i>Genome Biol</i>&nbsp;15:480.	FunSeq2: a framework for prioritizing noncoding regulatory variants in cancer.	PMC4203974
AP Boyle, CL Araya, C Brdlik, P Cayting, C Cheng, Y Cheng, K Gardner, LW Hillier, J Janette, L Jiang, D Kasper, T Kawli, P Kheradpour, A Kundaje, JJ Li, L Ma, W Niu, EJ Rehm, J Rozowsky, M Slattery, R Spokony, R Terrell, D Vafeados, D Wang, P Weisdepp, YC Wu, D Xie, KK Yan, EA Feingold, PJ Good, MJ Pazin, H Huang, PJ Bickel, SE Brenner, V Reinke, RH Waterston, M Gerstein, KP White, M Kellis, M Snyder	Nature	25164757	453-6	512	2014	(2014). <i>Nature</i>&nbsp;512:453-6.	Comparative analysis of regulatory information and circuits across distant species.	PMC4336544
MB Gerstein, J Rozowsky, KK Yan, D Wang, C Cheng, JB Brown, CA Davis, L Hillier, C Sisu, JJ Li, B Pei, AO Harmanci, MO Duff, S Djebali, RP Alexander, BH Alver, R Auerbach, K Bell, PJ Bickel, ME Boeck, NP Boley, BW Booth, L Cherbas, P Cherbas, C Di, A Dobin, J Drenkow, B Ewing, G Fang, M Fastuca, EA Feingold, A Frankish, G Gao, PJ Good, R Guig&#243;, A Hammonds, J Harrow, RA Hoskins, C Howald, L Hu, H Huang, TJ Hubbard, C Huynh, S Jha, D Kasper, M Kato, TC Kaufman, RR Kitchen, E Ladewig, J Lagarde, E Lai, J Leng, Z Lu, M MacCoss, G May, R McWhirter, G Merrihew, DM Miller, A Mortazavi, R Murad, B Oliver, S Olson, PJ Park, MJ Pazin, N Perrimon, D Pervouchine, V Reinke, A Reymond, G Robinson, A Samsonova, GI Saunders, F Schlesinger, A Sethi, FJ Slack, WC Spencer, MH Stoiber, P Strasbourger, A Tanzer, OA Thompson, KH Wan, G Wang, H Wang, KL Watkins, J Wen, K Wen, C Xue, L Yang, K Yip, C Zaleski, Y Zhang, H Zheng, SE Brenner, BR Graveley, SE Celniker, TR Gingeras, R Waterston	Nature	25164755	445-8	512	2014	(2014). <i>Nature</i>&nbsp;512:445-8.	Comparative analysis of the transcriptome across distant species.	PMC4155737
C Sisu, B Pei, J Leng, A Frankish, Y Zhang, S Balasubramanian, R Harte, D Wang, M Rutenberg-Schoenberg, W Clark, M Diekhans, J Rozowsky, T Hubbard, J Harrow, MB Gerstein	Proc Natl Acad Sci U S A	25157146	13361-6	111	2014	(2014). <i>Proc Natl Acad Sci U S A</i>&nbsp;111:13361-6.	Comparative analysis of pseudogenes across three phyla.	PMC4169933
